1. 四则运算题目1:  41 * 37/42
4603. 四则运算题目4603:  46 / 60'66/83
4604. 四则运算题目4604:  88 + 7/8
4605. 四则运算题目4605:  17 * 18 / 17/68 - 98
4606. 四则运算题目4606:  (64 * 7/29) - 52/54
4607. 四则运算题目4607:  (86 * 70'14/33) + 47'6/56
4608. 四则运算题目4608:  87 + 12
4609. 四则运算题目4609:  13 / 43'2/34 + 81'3/13
4610. 四则运算题目4610:  (76 / 24'30/53) * 63
4611. 四则运算题目4611:  (65 * 71) / 11'9/44
4612. 四则运算题目4612:  55 * 48/63
4613. 四则运算题目4613:  (40 / 69'7/53) / 5/9
4614. 四则运算题目4614:  96 - 4'37/54
4615. 四则运算题目4615:  (44 * 46'38/78) + 43
4616. 四则运算题目4616:  (29 * 52'41/55) * 35 - 74/81
4617. 四则运算题目4617:  (8 * 32'1/38) - 8'19/33
4618. 四则运算题目4618:  59 - 95'68/80 / 55'8/12
4619. 四则运算题目4619:  45 / 55
4620. 四则运算题目4620:  89 * 17/39
4621. 四则运算题目4621:  (32 / 6'23/82) / 2/12
4622. 四则运算题目4622:  38 * 1/39 + 23'53/85 + 47
4623. 四则运算题目4623:  79 + 18'1/2 + 48 + 4/5
4624. 四则运算题目4624:  17 * 42/59
4625. 四则运算题目4625:  57 + 77 + 53 / 1/5
4626. 四则运算题目4626:  29 * 94 - 2'2/20 / 11/71
4627. 四则运算题目4627:  89 / 24'8/69
4628. 四则运算题目4628:  (54 + 27'7/15) + 49'8/45
4629. 四则运算题目4629:  85 + 15'54/65 + 32'11/47 / 50/55
4630. 四则运算题目4630:  84 + 9/27 * 48'5/28
4631. 四则运算题目4631:  8 + 78
4632. 四则运算题目4632:  87 - 1/10 - 5
4633. 四则运算题目4633:  14 + 39/95 * 77
4634. 四则运算题目4634:  34 - 31 - 24'8/96 / 90
4635. 四则运算题目4635:  20 + (12'3/75 / 4/15) - 1/2
4636. 四则运算题目4636:  8 + 1/15 * 70'29/73
4637. 四则运算题目4637:  58 + 8/20 * 81'47/77 - 63'11/23
4638. 四则运算题目4638:  73 - 3/15
4639. 四则运算题目4639:  (5 + 11/12) - 37/55
4640. 四则运算题目4640:  38 + (20/37 * 83'24/81) - 3'2/15
4641. 四则运算题目4641:  27 * 88'7/35 - 4 * 9/49
4642. 四则运算题目4642:  93 + 23'88/92 * 30/81
4643. 四则运算题目4643:  32 * 62/86 - 20/37 / 49'31/65
4644. 四则运算题目4644:  79 + 1'5/20
4645. 四则运算题目4645:  80 / 1'36/38 - 34'2/7
4646. 四则运算题目4646:  89 - 1/17
4647. 四则运算题目4647:  62 + 23/29 + 4/8 - 40'6/43
4648. 四则运算题目4648:  18 / 7/70
4649. 四则运算题目4649:  52 * 45 - 26'26/43
4650. 四则运算题目4650:  17 + 21'11/81 - 11/44
4651. 四则运算题目4651:  (16 + 42/72) - 37/38 / 28'46/52
4652. 四则运算题目4652:  41 - 2/13
4653. 四则运算题目4653:  92 + 29'7/52
4654. 四则运算题目4654:  58 - (93 * 83/93) / 13
4655. 四则运算题目4655:  46 * 77 - 9/22
4656. 四则运算题目4656:  59 + 35/46 / 67
4657. 四则运算题目4657:  39 / (32'1/24 / 32) + 54/91
4658. 四则运算题目4658:  (89 + 1/3) - 34 + 66'55/92
4659. 四则运算题目4659:  65 * 55 - 59
4660. 四则运算题目4660:  80 / 32'29/80
4661. 四则运算题目4661:  12 * 48'42/55
4662. 四则运算题目4662:  (17 / 84/93) / 82
4663. 四则运算题目4663:  90 - 17'35/45
4664. 四则运算题目4664:  41 - 56/97
4665. 四则运算题目4665:  81 / 8
4666. 四则运算题目4666:  55 - 37'35/37
4667. 四则运算题目4667:  20 + 97
4668. 四则运算题目4668:  20 * 36'13/19
4669. 四则运算题目4669:  69 - 5/29 / 17/26 / 81
4670. 四则运算题目4670:  42 + 35
4671. 四则运算题目4671:  71 - 23/91 / 12/32
4672. 四则运算题目4672:  61 / 35'52/70
4673. 四则运算题目4673:  (93 * 16/20) + 15
4674. 四则运算题目4674:  57 / 93
4675. 四则运算题目4675:  39 * 25/70
4676. 四则运算题目4676:  73 * 98'65/69 / 17/83
4677. 四则运算题目4677:  22 - 7/53
4678. 四则运算题目4678:  36 - 56/57 * 15/26
4679. 四则运算题目4679:  99 * (66 * 7/63) * 74'6/10
4680. 四则运算题目4680:  (22 * 92) + 40'4/62 * 22/75
4681. 四则运算题目4681:  14 / 23/64 - 14/54 * 53
4682. 四则运算题目4682:  80 + (9'16/89 / 20/36) / 91
4683. 四则运算题目4683:  19 / 6/38 / 15 / 55
4684. 四则运算题目4684:  95 - 10/13
4685. 四则运算题目4685:  (6 + 21/23) + 15/17 / 58/96
4686. 四则运算题目4686:  19 * 51'13/21
4687. 四则运算题目4687:  43 + 11/55
4688. 四则运算题目4688:  7 * 87
4689. 四则运算题目4689:  95 * 36
4690. 四则运算题目4690:  (95 / 19/34) - 58 + 70
4691. 四则运算题目4691:  70 * 41 / 8'33/66 / 87
4692. 四则运算题目4692:  46 * 27 + 23/50 / 14'10/17
4693. 四则运算题目4693:  72 + 21 * 4/65 * 4/5
4694. 四则运算题目4694:  (42 / 1/3) - 56 * 8/41
4695. 四则运算题目4695:  88 * 1/91
4696. 四则运算题目4696:  9 + 49'58/77
4697. 四则运算题目4697:  (80 * 7/97) - 44/59
4698. 四则运算题目4698:  20 - 23/78 - 10 / 52'7/84
4699. 四则运算题目4699:  86 * 9 + 41/70 * 72
4700. 四则运算题目4700:  (73 * 22) / 26/48 / 97'27/39
4701. 四则运算题目4701:  58 + 1/4
4702. 四则运算题目4702:  55 + 46'2/19 - 66'66/81 + 93'40/64
4703. 四则运算题目4703:  93 + 17 - 27'14/23
4704. 四则运算题目4704:  9 + 4/5
4705. 四则运算题目4705:  30 / 38
4706. 四则运算题目4706:  81 + 3'18/64 + 33'28/33
4707. 四则运算题目4707:  81 + 39
4708. 四则运算题目4708:  85 * 59 + 29/88 * 66'69/77
4709. 四则运算题目4709:  83 - 72
4710. 四则运算题目4710:  (45 + 31) * 84'34/63 - 32
4711. 四则运算题目4711:  47 * (18'77/82 - 4/85) * 4
4712. 四则运算题目4712:  42 * 30
4713. 四则运算题目4713:  (48 - 6/51) + 23/44 / 28/83
4714. 四则运算题目4714:  47 * 67/77 + 1 + 86
4715. 四则运算题目4715:  (3 - 2/4) / 22'80/87
4716. 四则运算题目4716:  16 * 17
4717. 四则运算题目4717:  1 / 13 / 52'26/45
4718. 四则运算题目4718:  (36 / 93'15/71) / 52 + 96
4719. 四则运算题目4719:  1 + 22/55 / 23/41
4720. 四则运算题目4720:  92 - 3
4721. 四则运算题目4721:  (18 / 7'38/39) * 30'40/52 / 6/19
4722. 四则运算题目4722:  86 * 9'1/22 * 24/30
4723. 四则运算题目4723:  92 + 39'22/93
4724. 四则运算题目4724:  79 * 33
4725. 四则运算题目4725:  95 * 48/93
4726. 四则运算题目4726:  39 - 37'1/3
4727. 四则运算题目4727:  29 * 13/51
4728. 四则运算题目4728:  25 - 1/29 + 85
4729. 四则运算题目4729:  83 * 51
4730. 四则运算题目4730:  22 * 16
4731. 四则运算题目4731:  (38 - 3/27) * 16/88 + 20/48
4732. 四则运算题目4732:  31 * 8/51
4733. 四则运算题目4733:  42 * 11/35 * 66'1/24 + 52'2/7
4734. 四则运算题目4734:  67 - 5/22
4735. 四则运算题目4735:  0 + 77 / 55/70
4736. 四则运算题目4736:  18 * (13/25 / 40'8/12) * 59'55/77
4737. 四则运算题目4737:  25 + (13/82 + 22/39) * 26/42
4738. 四则运算题目4738:  (57 + 53) - 42
4739. 四则运算题目4739:  92 * 30'46/96 + 8/25 + 42
4740. 四则运算题目4740:  99 * 23/50 / 49/73 / 19/43
4741. 四则运算题目4741:  57 * 44'27/80
4742. 四则运算题目4742:  36 * 27
4743. 四则运算题目4743:  29 / 18/86 / 40/80 * 77'23/82
4744. 四则运算题目4744:  16 * 30/75
4745. 四则运算题目4745:  95 * 8/33 + 45'23/34
4746. 四则运算题目4746:  42 / 82'1/86
4747. 四则运算题目4747:  2 + 15 - 50/71
4748. 四则运算题目4748:  (4 + 10'2/72) / 3/23
4749. 四则运算题目4749:  (15 * 18/22) + 84 * 25/34
4750. 四则运算题目4750:  50 * 49/64 + 29'27/48
4751. 四则运算题目4751:  (5 + 64) / 19/26
4752. 四则运算题目4752:  97 * 65'9/27 + 29
4753. 四则运算题目4753:  54 - 31
4754. 四则运算题目4754:  (48 / 25) * 19/32
4755. 四则运算题目4755:  6 + 6'39/41
4756. 四则运算题目4756:  34 + 97'23/85 + 3/46 / 72
4757. 四则运算题目4757:  12 + 9/41 + 16 + 50
4758. 四则运算题目4758:  62 - 56
4759. 四则运算题目4759:  50 / 23'27/49 / 1/4
4760. 四则运算题目4760:  67 * 20/52 * 95 * 45
4761. 四则运算题目4761:  (50 * 2/7) - 42 / 67'53/96
4762. 四则运算题目4762:  32 + (18'4/11 * 98'26/43) - 13/79
4763. 四则运算题目4763:  (98 / 52) + 67'56/58 * 15'25/28
4764. 四则运算题目4764:  68 + 17'7/14
4765. 四则运算题目4765:  54 + 62 + 27 / 43
4766. 四则运算题目4766:  31 / 94
4767. 四则运算题目4767:  81 / 97
4768. 四则运算题目4768:  48 * (0 / 29/59) / 17
4769. 四则运算题目4769:  8 * 35
4770. 四则运算题目4770:  27 * 17/90
4771. 四则运算题目4771:  64 - 54/86
4772. 四则运算题目4772:  46 + 57/93 - 1'44/65
4773. 四则运算题目4773:  63 * 1/44
4774. 四则运算题目4774:  52 / 30/32 + 32'9/25
4775. 四则运算题目4775:  (98 * 29/42) + 43'11/37 / 7/48
4776. 四则运算题目4776:  18 * 25 / 28'43/48 * 42'8/39
4777. 四则运算题目4777:  (61 * 34) + 65'2/14
4778. 四则运算题目4778:  80 / 50/76 * 31'1/60
4779. 四则运算题目4779:  35 / 55
4780. 四则运算题目4780:  99 / (63'17/73 + 70/77) / 48/52
4781. 四则运算题目4781:  (91 * 97) * 43'9/64
4782. 四则运算题目4782:  61 * 67/76 / 23'7/58 + 65
4783. 四则运算题目4783:  (71 + 86'1/12) - 86'3/21
4784. 四则运算题目4784:  16 + 29/67
4785. 四则运算题目4785:  86 * 20/49
4786. 四则运算题目4786:  (85 / 99'54/81) + 48
4787. 四则运算题目4787:  (38 * 49'44/81) * 79 / 13
4788. 四则运算题目4788:  63 + 1/31
4789. 四则运算题目4789:  26 * 5/15 / 60'31/35 * 94
4790. 四则运算题目4790:  97 - 60
4791. 四则运算题目4791:  15 / 63'50/91
4792. 四则运算题目4792:  9 * (33'4/7 + 6'10/48) + 58'38/52
4793. 四则运算题目4793:  54 * 18/25
4794. 四则运算题目4794:  (86 + 18'20/23) + 7'3/81 / 9/62
4795. 四则运算题目4795:  13 * 27
4796. 四则运算题目4796:  70 * 25'64/94 + 55'6/28
4797. 四则运算题目4797:  0 / 6/91
4798. 四则运算题目4798:  73 * 2'8/36
4799. 四则运算题目4799:  6 / 44/89
4800. 四则运算题目4800:  (50 * 11'5/22) * 6/20 - 8/30
4801. 四则运算题目4801:  45 * 81'5/7
4802. 四则运算题目4802:  14 * 14'5/6
4803. 四则运算题目4803:  73 + 44/45 * 15/24 / 2/18
4804. 四则运算题目4804:  89 + 6 * 4/29 - 8/10
4805. 四则运算题目4805:  71 / 7 + 42 / 47/58
4806. 四则运算题目4806:  13 + 35
4807. 四则运算题目4807:  94 + 30 / 10/68 * 47'29/54
4808. 四则运算题目4808:  (86 / 72'22/80) + 35/36
4809. 四则运算题目4809:  (76 * 63'36/44) - 0
4810. 四则运算题目4810:  75 / 75 + 45/54 + 48
4811. 四则运算题目4811:  93 * 1/25 / 44'39/58
4812. 四则运算题目4812:  97 / 94'20/87
4813. 四则运算题目4813:  19 * 32 + 62 * 17/40
4814. 四则运算题目4814:  81 * 3'32/90 * 79'47/71
4815. 四则运算题目4815:  57 / 27'55/69 - 0 / 22/68
4816. 四则运算题目4816:  41 * (30 + 27/29) - 28/48
4817. 四则运算题目4817:  17 * 1 * 70'32/71
4818. 四则运算题目4818:  68 - 3/4 + 11/85 * 2
4819. 四则运算题目4819:  55 + 50 * 84
4820. 四则运算题目4820:  45 + 70/84 * 49'3/4
4821. 四则运算题目4821:  61 / 38/87 + 46'4/50
4822. 四则运算题目4822:  (55 * 77'3/34) + 19/29
4823. 四则运算题目4823:  99 + 28/64 / 45'28/34 - 71
4824. 四则运算题目4824:  7 * 44'18/25
4825. 四则运算题目4825:  71 - 37/64 + 62'13/19
4826. 四则运算题目4826:  71 / 64/70 + 40'10/79 - 43/77
4827. 四则运算题目4827:  85 * (78/91 / 49/92) / 45
4828. 四则运算题目4828:  38 / 36'78/85
4829. 四则运算题目4829:  56 + 36'26/40 / 6/76
4830. 四则运算题目4830:  37 + 63'3/11 - 29'16/18 * 3/4
4831. 四则运算题目4831:  16 / 2 / 9/61
4832. 四则运算题目4832:  65 + 53'46/90 * 25'46/56
4833. 四则运算题目4833:  88 / 6/77
4834. 四则运算题目4834:  (88 * 36/45) + 31'23/57 - 85
4835. 四则运算题目4835:  (35 / 18/37) / 82/94
4836. 四则运算题目4836:  55 / 11/42
4837. 四则运算题目4837:  48 * 24
4838. 四则运算题目4838:  47 * 54/87 + 91 - 11/53
4839. 四则运算题目4839:  11 - 6
4840. 四则运算题目4840:  2 + 98
4841. 四则运算题目4841:  68 / 31'44/76 / 34/78 * 45'7/30
4842. 四则运算题目4842:  82 + 88'2/4
4843. 四则运算题目4843:  74 - 91/97 + 83'19/20 - 6'15/29
4844. 四则运算题目4844:  28 * 24
4845. 四则运算题目4845:  83 / (56'9/84 + 69'55/89) + 96'61/64
4846. 四则运算题目4846:  99 / 23
4847. 四则运算题目4847:  35 + 56'16/38
4848. 四则运算题目4848:  74 / 84'19/30 / 29
4849. 四则运算题目4849:  66 + 77'38/53 + 83 - 66/84
4850. 四则运算题目4850:  5 * 67 * 48'1/23
4851. 四则运算题目4851:  25 + 10/18
4852. 四则运算题目4852:  60 - 13/68
4853. 四则运算题目4853:  (73 * 85) * 86 - 60'25/80
4854. 四则运算题目4854:  (63 * 51'5/13) + 1/47 * 19/30
4855. 四则运算题目4855:  87 - 46 + 21 * 33'3/7
4856. 四则运算题目4856:  86 - 36/57
4857. 四则运算题目4857:  73 - 22'51/67
4858. 四则运算题目4858:  82 - 81'58/63
4859. 四则运算题目4859:  (18 * 3/45) / 37 * 55
4860. 四则运算题目4860:  14 * 27'29/31 * 45'18/36 - 24
4861. 四则运算题目4861:  22 - 13'34/97 / 28/45
4862. 四则运算题目4862:  66 + 81
4863. 四则运算题目4863:  71 - 63/93
4864. 四则运算题目4864:  47 + 39/63 + 17'34/54
4865. 四则运算题目4865:  37 * 4'22/58
4866. 四则运算题目4866:  52 * 70 - 23/69 * 97
4867. 四则运算题目4867:  99 + 53/74 - 14/75
4868. 四则运算题目4868:  52 / 9 * 82
4869. 四则运算题目4869:  1 / 92'1/97
4870. 四则运算题目4870:  85 * 94'20/25
4871. 四则运算题目4871:  64 / 95/97
4872. 四则运算题目4872:  (63 / 62) + 71'6/26 - 67'4/97
4873. 四则运算题目4873:  87 * 12'5/15
4874. 四则运算题目4874:  24 - 20/32 / 31/69
4875. 四则运算题目4875:  (19 * 28/57) / 61/77
4876. 四则运算题目4876:  36 + 67/94 / 42 / 41
4877. 四则运算题目4877:  96 + 97
4878. 四则运算题目4878:  14 / 51
4879. 四则运算题目4879:  47 / 49/54
4880. 四则运算题目4880:  29 / 49'1/47
4881. 四则运算题目4881:  70 / 35 * 66 + 18'13/15
4882. 四则运算题目4882:  81 + 88'8/9
4883. 四则运算题目4883:  88 + 12/31 - 8/22
4884. 四则运算题目4884:  49 * 91'66/93
4885. 四则运算题目4885:  (85 / 4/28) - 47'24/44
4886. 四则运算题目4886:  (74 - 36'36/77) / 41/77 - 33'22/35
4887. 四则运算题目4887:  39 / 23'10/22 + 90'21/29
4888. 四则运算题目4888:  91 * 89'3/39
4889. 四则运算题目4889:  (64 + 56/67) + 42/65 * 92
4890. 四则运算题目4890:  60 / 76
4891. 四则运算题目4891:  29 * 5/12
4892. 四则运算题目4892:  (60 + 77) - 33 / 5/6
4893. 四则运算题目4893:  61 * 88
4894. 四则运算题目4894:  58 - 13/32 / 44 - 17/97
4895. 四则运算题目4895:  (15 / 30'76/90) / 85'40/73
4896. 四则运算题目4896:  82 * 74 - 86 + 93'7/21
4897. 四则运算题目4897:  46 + 34
4898. 四则运算题目4898:  (11 * 94) / 38'54/72 * 40/96
4899. 四则运算题目4899:  (33 - 6/20) + 8/22
4900. 四则运算题目4900:  21 * 17
4901. 四则运算题目4901:  70 - 36/77
4902. 四则运算题目4902:  63 + 18
4903. 四则运算题目4903:  37 / 6
4904. 四则运算题目4904:  (17 * 47'18/38) * 43
4905. 四则运算题目4905:  17 + (97'31/58 / 41'3/22) / 9
4906. 四则运算题目4906:  (64 / 59/68) * 10/18
4907. 四则运算题目4907:  90 / 19/28
4908. 四则运算题目4908:  (68 + 23'6/57) * 94'70/77 - 72
4909. 四则运算题目4909:  33 / 67
4910. 四则运算题目4910:  (38 * 10/21) / 17
4911. 四则运算题目4911:  99 / 52
4912. 四则运算题目4912:  (99 + 17/23) - 62/86 + 77
4913. 四则运算题目4913:  89 - (11 * 5) / 61'52/91
4914. 四则运算题目4914:  37 + 86 / 30'30/53
4915. 四则运算题目4915:  81 - (33 / 38) * 2/6
4916. 四则运算题目4916:  27 * 12/18 / 28/47
4917. 四则运算题目4917:  21 * 24'6/10 + 2/3
4918. 四则运算题目4918:  47 * 37'12/28
4919. 四则运算题目4919:  78 + 39/49 + 94'16/23
4920. 四则运算题目4920:  21 + (82 - 75) / 96
4921. 四则运算题目4921:  58 * 43'48/79 / 4/58
4922. 四则运算题目4922:  45 * (95 * 97) - 4/34
4923. 四则运算题目4923:  1 * 29'24/56 / 86'35/36
4924. 四则运算题目4924:  60 * 8/17 * 39 / 82'74/84
4925. 四则运算题目4925:  5 * (20 / 90) + 66
4926. 四则运算题目4926:  49 + 78'4/45
4927. 四则运算题目4927:  (82 / 40/41) - 7/56
4928. 四则运算题目4928:  12 + 7/13
4929. 四则运算题目4929:  81 / 20/74 - 19/34 / 34
4930. 四则运算题目4930:  60 * 14/55
4931. 四则运算题目4931:  5 * (48 / 17/34) - 97
4932. 四则运算题目4932:  16 + 4 - 3/4
4933. 四则运算题目4933:  76 / 49
4934. 四则运算题目4934:  (8 + 12'17/69) - 16/25
4935. 四则运算题目4935:  23 / 25/86
4936. 四则运算题目4936:  (72 - 33) - 5'27/43
4937. 四则运算题目4937:  11 / 10/65
4938. 四则运算题目4938:  48 + 88
4939. 四则运算题目4939:  (64 - 20) * 67'1/13 * 51
4940. 四则运算题目4940:  39 * 46/51
4941. 四则运算题目4941:  24 + 0
4942. 四则运算题目4942:  36 * 61'25/38
4943. 四则运算题目4943:  27 / 63'25/34
4944. 四则运算题目4944:  88 - 64 + 5/49
4945. 四则运算题目4945:  (60 * 21'84/89) * 36'30/73 + 77
4946. 四则运算题目4946:  (2 * 24'56/85) + 37 / 27
4947. 四则运算题目4947:  59 + 94
4948. 四则运算题目4948:  90 + 30'12/19
4949. 四则运算题目4949:  (44 * 22) - 91
4950. 四则运算题目4950:  25 * 28/30 - 9/32
4951. 四则运算题目4951:  40 - 33'71/85
4952. 四则运算题目4952:  20 - 17
4953. 四则运算题目4953:  (74 + 80) / 9/31
4954. 四则运算题目4954:  23 - 16/33 - 2/6
4955. 四则运算题目4955:  56 + 71'24/28 + 46
4956. 四则运算题目4956:  19 * 16
4957. 四则运算题目4957:  91 + 18'77/94 + 40/64 + 47
4958. 四则运算题目4958:  23 * 30'6/14 - 35/90
4959. 四则运算题目4959:  35 + 66/82
4960. 四则运算题目4960:  8 / 20/86 / 57
4961. 四则运算题目4961:  40 + 4/27 / 33'38/76 * 1'5/10
4962. 四则运算题目4962:  62 + 22'31/35
4963. 四则运算题目4963:  (97 / 26) * 93'2/4 + 2/15
4964. 四则运算题目4964:  15 / 63
4965. 四则运算题目4965:  2 * 82
4966. 四则运算题目4966:  10 - 2/29 * 48/77 * 18/37
4967. 四则运算题目4967:  66 * (88'5/35 + 11/46) - 2
4968. 四则运算题目4968:  41 / 22/26 * 53
4969. 四则运算题目4969:  3 - 18/76
4970. 四则运算题目4970:  17 + 29'38/70
4971. 四则运算题目4971:  28 + 95 * 29/35 - 64
4972. 四则运算题目4972:  25 * 13 + 52
4973. 四则运算题目4973:  31 + 83 - 19'69/74
4974. 四则运算题目4974:  (31 / 27'39/46) + 91'31/40 * 45
4975. 四则运算题目4975:  14 * 86'8/40
4976. 四则运算题目4976:  51 * (39 / 46/48) + 78
4977. 四则运算题目4977:  65 / 66 * 48/53 * 11'11/58
4978. 四则运算题目4978:  (98 * 4/39) + 79'3/13
4979. 四则运算题目4979:  3 / 6/26 + 15
4980. 四则运算题目4980:  69 - 33
4981. 四则运算题目4981:  (32 / 61) * 17'1/14 / 68'10/11
4982. 四则运算题目4982:  16 + 69/70
4983. 四则运算题目4983:  (7 + 21/34) / 22/72
4984. 四则运算题目4984:  59 / 1'27/38 * 31/83
4985. 四则运算题目4985:  15 * 30'38/53
4986. 四则运算题目4986:  87 * 72'1/36 / 66'6/55
4987. 四则运算题目4987:  (26 * 1/8) - 17/18 + 10'24/67
4988. 四则运算题目4988:  20 / 7/19 + 79 / 30/49
4989. 四则运算题目4989:  (16 - 17/63) / 77'46/66
4990. 四则运算题目4990:  13 * 27/64
4991. 四则运算题目4991:  32 + 8
4992. 四则运算题目4992:  46 + 45'41/84
4993. 四则运算题目4993:  69 / 15/41
4994. 四则运算题目4994:  38 + (53 * 3/4) / 39'40/45
4995. 四则运算题目4995:  16 * 89'23/61 / 99
4996. 四则运算题目4996:  87 - 1
4997. 四则运算题目4997:  29 - 97'34/35 / 70'32/40
4998. 四则运算题目4998:  1 * 66
4999. 四则运算题目4999:  73 / 49
5000. 四则运算题目5000:  70 - 35'83/84 - 13/73
5001. 四则运算题目5001:  53 / 36/85
5002. 四则运算题目5002:  79 / 47/48 * 32/64 * 63'13/25
5003. 四则运算题目5003:  66 / 94'9/76
5004. 四则运算题目5004:  75 + 69/95
5005. 四则运算题目5005:  73 * 75'21/28 - 75
5006. 四则运算题目5006:  92 - 76 - 17/57
5007. 四则运算题目5007:  65 / 16/80 * 13 * 64
5008. 四则运算题目5008:  58 - 36'42/51
5009. 四则运算题目5009:  55 - (3/25 / 45) + 16'63/82
5010. 四则运算题目5010:  94 - 7 / 1/3 + 40'71/96
5011. 四则运算题目5011:  98 + 98'7/21 * 24/30
5012. 四则运算题目5012:  64 * 90'1/3 - 39 / 3/7
5013. 四则运算题目5013:  28 * 22
5014. 四则运算题目5014:  (93 / 57) * 22'52/54
5015. 四则运算题目5015:  (11 + 36'2/9) + 27/28
5016. 四则运算题目5016:  52 + 51/65 / 12
5017. 四则运算题目5017:  16 + 66 * 61/62 * 72'19/71
5018. 四则运算题目5018:  (24 * 4) + 47/54
5019. 四则运算题目5019:  25 * 22'8/16
5020. 四则运算题目5020:  30 + 37
5021. 四则运算题目5021:  89 - 73'1/85 - 11
5022. 四则运算题目5022:  (54 * 7/54) / 36/91 + 4
5023. 四则运算题目5023:  94 * 34'48/61
5024. 四则运算题目5024:  (76 / 5'7/39) - 39/79 / 57'48/50
5025. 四则运算题目5025:  82 / 64'9/18
5026. 四则运算题目5026:  67 + 44'82/97
5027. 四则运算题目5027:  58 / 8/51
5028. 四则运算题目5028:  30 * 64'10/35 - 6/28 + 1/3
5029. 四则运算题目5029:  38 * 23/31
5030. 四则运算题目5030:  61 * 19'93/97
5031. 四则运算题目5031:  66 / 5'12/94 * 43
5032. 四则运算题目5032:  (56 - 35'3/5) + 7/27
5033. 四则运算题目5033:  (33 / 33'3/4) + 9/47 * 46/71
5034. 四则运算题目5034:  (58 / 42/58) * 99'17/25
5035. 四则运算题目5035:  76 / 88'19/48
5036. 四则运算题目5036:  71 * 94'4/8
5037. 四则运算题目5037:  71 - 26
5038. 四则运算题目5038:  (61 + 50) - 61/63
5039. 四则运算题目5039:  55 - 46'8/16
5040. 四则运算题目5040:  89 * 14/29 / 13'8/10
5041. 四则运算题目5041:  83 * 25/28
5042. 四则运算题目5042:  67 * 27'6/17 / 46/94 / 30/45
5043. 四则运算题目5043:  (84 - 19'3/53) + 32/68 / 61/65
5044. 四则运算题目5044:  55 + 50/87 * 12/31 / 4/27
5045. 四则运算题目5045:  55 + 90'27/51 * 79 + 71'69/89
5046. 四则运算题目5046:  54 + 20'19/57 + 92
5047. 四则运算题目5047:  45 + 33'5/19 - 31/37
5048. 四则运算题目5048:  23 * (25/62 * 87) - 4/12
5049. 四则运算题目5049:  (92 / 14/81) * 88 / 25/49
5050. 四则运算题目5050:  14 + 78'18/30 * 84 * 83'50/65
5051. 四则运算题目5051:  53 * 44 * 53 / 68/75
5052. 四则运算题目5052:  27 / 60/86 * 21/25
5053. 四则运算题目5053:  17 * 60'31/48 + 13'14/59
5054. 四则运算题目5054:  89 * 51'8/38 - 75 - 31'11/58
5055. 四则运算题目5055:  51 * 72 + 32/89
5056. 四则运算题目5056:  12 + 76 / 60/65
5057. 四则运算题目5057:  65 - 56/85 + 9/10 * 22/31
5058. 四则运算题目5058:  29 / 95 / 72
5059. 四则运算题目5059:  66 * 5/43
5060. 四则运算题目5060:  96 + 39 / 13/27
5061. 四则运算题目5061:  22 * 32 / 48 + 15/17
5062. 四则运算题目5062:  42 + 21'3/4
5063. 四则运算题目5063:  18 * 21/35
5064. 四则运算题目5064:  21 / 4'3/5
5065. 四则运算题目5065:  85 - 77/93 + 2'23/28 + 54'67/83
5066. 四则运算题目5066:  11 * (78 / 87/88) * 37'37/46
5067. 四则运算题目5067:  76 - 60
5068. 四则运算题目5068:  97 * 54/81 * 56
5069. 四则运算题目5069:  98 + 13/19 - 74'90/93
5070. 四则运算题目5070:  92 / 91
5071. 四则运算题目5071:  77 / 59'27/43 * 16/36
5072. 四则运算题目5072:  25 / 14'60/84
5073. 四则运算题目5073:  97 + (8/57 / 84'20/22) - 54/94
5074. 四则运算题目5074:  41 * 33 + 20/34 - 36/70
5075. 四则运算题目5075:  77 + 83'2/52
5076. 四则运算题目5076:  31 * 12'15/61 + 48/90
5077. 四则运算题目5077:  46 / (30/53 + 28/74) / 4'4/43
5078. 四则运算题目5078:  79 * 16 + 15
5079. 四则运算题目5079:  10 * 27'17/40
5080. 四则运算题目5080:  25 - 70/93 + 36/66 + 11/16
5081. 四则运算题目5081:  93 * 93'39/61
5082. 四则运算题目5082:  88 / 45
5083. 四则运算题目5083:  (72 / 1/24) + 58'6/64 * 72'54/96
5084. 四则运算题目5084:  51 * 57'49/96 / 50/55
5085. 四则运算题目5085:  15 / 4/70 - 88
5086. 四则运算题目5086:  54 - 19/88
5087. 四则运算题目5087:  12 + 1
5088. 四则运算题目5088:  69 - 40/82
5089. 四则运算题目5089:  67 + 43
5090. 四则运算题目5090:  53 * 27'4/24 / 84/87 / 93'24/58
5091. 四则运算题目5091:  58 * 22 / 94
5092. 四则运算题目5092:  40 + (17'10/40 + 11/50) / 2/28
5093. 四则运算题目5093:  80 - 31'36/38
5094. 四则运算题目5094:  17 + 47'64/68
5095. 四则运算题目5095:  59 * 10'31/90 * 38
5096. 四则运算题目5096:  48 / 15
5097. 四则运算题目5097:  48 * 32/42
5098. 四则运算题目5098:  79 * 7/74 + 18
5099. 四则运算题目5099:  (43 + 1/2) + 10
5100. 四则运算题目5100:  98 + 41
5101. 四则运算题目5101:  53 - 7/8
5102. 四则运算题目5102:  88 + 90
5103. 四则运算题目5103:  51 - 18
5104. 四则运算题目5104:  51 + 37/55 + 42/86
5105. 四则运算题目5105:  82 + 26/37 - 9/63 - 32'46/86
