1. 答案1:  36'5/42
4846. 答案4846:  4'7/23
4847. 答案4847:  91'8/19
4848. 答案4848:  2220/73631
4849. 答案4849:  225'691/742
4850. 答案4850:  16094'13/23
4851. 答案4851:  25'5/9
4852. 答案4852:  59'55/68
4853. 答案4853:  533569'11/16
4854. 答案4854:  3237'4477/18330
4855. 答案4855:  743
4856. 答案4856:  85'7/19
4857. 答案4857:  50'16/67
4858. 答案4858:  5/63
4859. 答案4859:  1'29/37
4860. 答案4860:  17770'28/31
4861. 答案4861:  211/388
4862. 答案4862:  147
4863. 答案4863:  70'10/31
4864. 答案4864:  65'47/189
4865. 答案4865:  162'1/29
4866. 答案4866:  3607'2/3
4867. 答案4867:  99'2939/5550
4868. 答案4868:  473'7/9
4869. 答案4869:  97/8925
4870. 答案4870:  8058
4871. 答案4871:  65'33/95
4872. 答案4872:  5'16079/78182
4873. 答案4873:  1073
4874. 答案4874:  22'151/248
4875. 答案4875:  11'143/183
4876. 答案4876:  36'67/161868
4877. 答案4877:  193
4878. 答案4878:  14/51
4879. 答案4879:  51'39/49
4880. 答案4880:  1363/2304
4881. 答案4881:  150'13/15
4882. 答案4882:  169'8/9
4883. 答案4883:  88'8/341
4884. 答案4884:  4493'24/31
4885. 答案4885:  547'5/11
4886. 答案4886:  36'1233/1435
4887. 答案4887:  92'965/2494
4888. 答案4888:  8106
4889. 答案4889:  124'1228/4355
4890. 答案4890:  15/19
4891. 答案4891:  12'1/12
4892. 答案4892:  97'2/5
4893. 答案4893:  5368
4894. 答案4894:  57'111379/136576
4895. 答案4895:  9855/1733612
4896. 答案4896:  6075'1/3
4897. 答案4897:  80
4898. 答案4898:  11'11/93
4899. 答案4899:  33'7/110
4900. 答案4900:  357
4901. 答案4901:  69'41/77
4902. 答案4902:  81
4903. 答案4903:  6'1/6
4904. 答案4904:  34703'5/19
4905. 答案4905:  17'62227/236205
4906. 答案4906:  40'520/531
4907. 答案4907:  132'12/19
4908. 答案4908:  8574'150/209
4909. 答案4909:  33/67
4910. 答案4910:  1'23/357
4911. 答案4911:  1'47/52
4912. 答案4912:  176'18/989
4913. 答案4913:  88'46/431
4914. 答案4914:  39'659/810
4915. 答案4915:  80'27/38
4916. 答案4916:  30'3/14
4917. 答案4917:  517'4/15
4918. 答案4918:  1759'1/7
4919. 答案4919:  173'554/1127
4920. 答案4920:  21'7/96
4921. 答案4921:  36673'78/79
4922. 答案4922:  414674'15/17
4923. 答案4923:  7416/21917
4924. 答案4924:  13'16939/59177
4925. 答案4925:  67'1/9
4926. 答案4926:  127'4/45
4927. 答案4927:  83'37/40
4928. 答案4928:  12'7/13
4929. 答案4929:  299'3951/5780
4930. 答案4930:  15'3/11
4931. 答案4931:  383
4932. 答案4932:  19'1/4
4933. 答案4933:  1'27/49
4934. 答案4934:  19'1046/1725
4935. 答案4935:  79'3/25
4936. 答案4936:  33'16/43
4937. 答案4937:  71'1/2
4938. 答案4938:  136
4939. 答案4939:  150520'8/13
4940. 答案4940:  35'3/17
4941. 答案4941:  24
4942. 答案4942:  2219'13/19
4943. 答案4943:  918/2167
4944. 答案4944:  24'5/49
4945. 答案4945:  48016'4757/6497
4946. 答案4946:  50'1579/2295
4947. 答案4947:  153
4948. 答案4948:  120'12/19
4949. 答案4949:  877
4950. 答案4950:  23'5/96
4951. 答案4951:  6'14/85
4952. 答案4952:  3
4953. 答案4953:  530'4/9
4954. 答案4954:  22'2/11
4955. 答案4955:  173'6/7
4956. 答案4956:  304
4957. 答案4957:  157'167/376
4958. 答案4958:  699'59/126
4959. 答案4959:  35'33/41
4960. 答案4960:  172/285
4961. 答案4961:  40'4/603
4962. 答案4962:  84'31/35
4963. 答案4963:  348'749/780
4964. 答案4964:  5/21
4965. 答案4965:  164
4966. 答案4966:  9'80893/82621
4967. 答案4967:  5831'34/161
4968. 答案4968:  2568'1/11
4969. 答案4969:  2'29/38
4970. 答案4970:  46'19/35
4971. 答案4971:  42'5/7
4972. 答案4972:  377
4973. 答案4973:  94'5/74
4974. 答案4974:  4130'10127/10248
4975. 答案4975:  1206'4/5
4976. 答案4976:  2153'11/23
4977. 答案4977:  9'1507/1537
4978. 答案4978:  89'11/39
4979. 答案4979:  28
4980. 答案4980:  36
4981. 答案4981:  21032/161833
4982. 答案4982:  16'69/70
4983. 答案4983:  24'174/187
4984. 答案4984:  12'4762/5395
4985. 答案4985:  460'40/53
4986. 答案4986:  94'34427/43632
4987. 答案4987:  12'1601/2412
4988. 答案4988:  183'67/210
4989. 答案4989:  10901/53844
4990. 答案4990:  5'31/64
4991. 答案4991:  40
4992. 答案4992:  91'41/84
4993. 答案4993:  188'3/5
4994. 答案4994:  38'1431/1436
4995. 答案4995:  14'2686/6039
4996. 答案4996:  86
4997. 答案4997:  27'509/826
4998. 答案4998:  66
4999. 答案4999:  1'24/49
5000. 答案5000:  33'5113/6132
5001. 答案5001:  125'5/36
5002. 答案5002:  2562'498/1175
5003. 答案5003:  5016/7153
5004. 答案5004:  75'69/95
5005. 答案5005:  5454'3/4
5006. 答案5006:  15'40/57
5007. 答案5007:  270400
5008. 答案5008:  21'3/17
5009. 答案5009:  71'23543/30750
5010. 答案5010:  113'71/96
5011. 答案5011:  176'2/3
5012. 答案5012:  5690'1/3
5013. 答案5013:  616
5014. 答案5014:  37'239/513
5015. 答案5015:  48'47/252
5016. 答案5016:  52'17/260
5017. 答案5017:  4708'1611/2201
5018. 答案5018:  96'47/54
5019. 答案5019:  562'1/2
5020. 答案5020:  67
5021. 答案5021:  4'84/85
5022. 答案5022:  21'25/36
5023. 答案5023:  3269'59/61
5024. 答案5024:  14'2561851/3853857
5025. 答案5025:  1'35/129
5026. 答案5026:  111'82/97
5027. 答案5027:  369'3/4
5028. 答案5028:  1928'29/42
5029. 答案5029:  28'6/31
5030. 答案5030:  1217'47/97
5031. 答案5031:  553'113/241
5032. 答案5032:  20'89/135
5033. 答案5033:  1'15293/150165
5034. 答案5034:  7983'67/75
5035. 答案5035:  3648/4243
5036. 答案5036:  6709'1/2
5037. 答案5037:  45
5038. 答案5038:  110'2/63
5039. 答案5039:  8'1/2
5040. 答案5040:  3'227/2001
5041. 答案5041:  74'3/28
5042. 答案5042:  5617'361/782
5043. 答案5043:  65'24449/54961
5044. 答案5044:  56'451/899
5045. 答案5045:  7278'906/1513
5046. 答案5046:  166'1/3
5047. 答案5047:  77'299/703
5048. 答案5048:  806'97/186
5049. 答案5049:  91808'16/25
5050. 答案5050:  553091'63/65
5051. 答案5051:  136319'2/17
5052. 答案5052:  32'127/250
5053. 答案5053:  1044'613/2832
5054. 答案5054:  4451'603/1102
5055. 答案5055:  3672'32/89
5056. 答案5056:  94'1/3
5057. 答案5057:  64'2582/2635
5058. 答案5058:  29/6840
5059. 答案5059:  7'29/43
5060. 答案5060:  177
5061. 答案5061:  15'28/51
5062. 答案5062:  63'3/4
5063. 答案5063:  10'4/5
5064. 答案5064:  4'13/23
5065. 答案5065:  141'173057/216132
5066. 答案5066:  32808'640/667
5067. 答案5067:  16
5068. 答案5068:  3621'1/3
5069. 答案5069:  23'422/589
5070. 答案5070:  1'1/91
5071. 答案5071:  3311/5769
5072. 答案5072:  1'72/103
5073. 答案5073:  96'534448/1251093
5074. 答案5074:  1353'44/595
5075. 答案5075:  160'1/26
5076. 答案5076:  380'143/915
5077. 答案5077:  11'146693/162976
5078. 答案5078:  1279
5079. 答案5079:  274'1/4
5080. 答案5080:  25'7861/16368
5081. 答案5081:  8708'28/61
5082. 答案5082:  1'43/45
5083. 答案5083:  5943'219/512
5084. 答案5084:  3226'107/320
5085. 答案5085:  174'1/2
5086. 答案5086:  53'69/88
5087. 答案5087:  13
5088. 答案5088:  68'21/41
5089. 答案5089:  110
5090. 答案5090:  15'438719/455112
5091. 答案5091:  13'27/47
5092. 答案5092:  284'29/50
5093. 答案5093:  48'1/19
5094. 答案5094:  64'16/17
5095. 答案5095:  23192'11/45
5096. 答案5096:  3'1/5
5097. 答案5097:  36'4/7
5098. 答案5098:  25'35/74
5099. 答案5099:  53'1/2
5100. 答案5100:  139
5101. 答案5101:  52'1/8
5102. 答案5102:  178
5103. 答案5103:  33
5104. 答案5104:  52'381/2365
5105. 答案5105:  50'278/11137
5106. 答案5106:  52'11/42
5107. 答案5107:  87'75/88
5108. 答案5108:  144'5/18
5109. 答案5109:  33'58/79
5110. 答案5110:  17'1/3
5111. 答案5111:  87/95
5112. 答案5112:  7'917/2641
5113. 答案5113:  67'41/44
5114. 答案5114:  248'126/493
5115. 答案5115:  54'842/1067
5116. 答案5116:  14553/42674
5117. 答案5117:  4851
5118. 答案5118:  59'685/774
5119. 答案5119:  86'3/11
5120. 答案5120:  5332'53/59
5121. 答案5121:  161
5122. 答案5122:  68'3/8
5123. 答案5123:  80'12/17
5124. 答案5124:  113'62/187
5125. 答案5125:  69'155/228
5126. 答案5126:  148'4/9
5127. 答案5127:  525'33/83
5128. 答案5128:  45'8639/9792
5129. 答案5129:  1862'176/285
5130. 答案5130:  206'7389/7396
5131. 答案5131:  69'541/558
5132. 答案5132:  3'2/3
5133. 答案5133:  190'2/3
5134. 答案5134:  1064
5135. 答案5135:  3599'47/255
5136. 答案5136:  32/75
5137. 答案5137:  428'18212/20625
5138. 答案5138:  38'184/533
5139. 答案5139:  47'643/871
5140. 答案5140:  132'39/61
5141. 答案5141:  8'1/3
5142. 答案5142:  54'101/265
5143. 答案5143:  3639'820/7161
5144. 答案5144:  197'11/13
5145. 答案5145:  3658
5146. 答案5146:  853'1086/1943
5147. 答案5147:  421'449/855
5148. 答案5148:  19'4/185
5149. 答案5149:  37'43/84
5150. 答案5150:  17'90583/655360
5151. 答案5151:  321'1/2
5152. 答案5152:  62
5153. 答案5153:  31/119
5154. 答案5154:  198/511
5155. 答案5155:  660'23/41
5156. 答案5156:  150'1145/1692
5157. 答案5157:  3183'50/93
5158. 答案5158:  462'56/85
5159. 答案5159:  119'10/53
5160. 答案5160:  38'21/71
5161. 答案5161:  8'1/8
5162. 答案5162:  9'321/575
5163. 答案5163:  25'3/67
5164. 答案5164:  97'3677/24414
5165. 答案5165:  33986'61/108
5166. 答案5166:  55'17/41
5167. 答案5167:  5'7870/47437
5168. 答案5168:  336'2/3
5169. 答案5169:  64'617/708
5170. 答案5170:  73'15119/15234
5171. 答案5171:  45
5172. 答案5172:  77'2769/7084
5173. 答案5173:  63'1/2
5174. 答案5174:  4'15/37
5175. 答案5175:  83
5176. 答案5176:  54'13/42
5177. 答案5177:  130'1068/3055
5178. 答案5178:  96'32743/37618
5179. 答案5179:  19'4/11
5180. 答案5180:  114'106577/281160
5181. 答案5181:  2820'50/89
5182. 答案5182:  1274'5/12
5183. 答案5183:  455
5184. 答案5184:  108'2/5
5185. 答案5185:  1'29/115
5186. 答案5186:  962'1/2
5187. 答案5187:  1317
5188. 答案5188:  435
5189. 答案5189:  100'3109/6138
5190. 答案5190:  29'12/17
5191. 答案5191:  2411
5192. 答案5192:  82'35/52
5193. 答案5193:  61/63
5194. 答案5194:  96'36/47
5195. 答案5195:  1675'557/572
5196. 答案5196:  1209/3985
5197. 答案5197:  531/7384
5198. 答案5198:  16
5199. 答案5199:  862'2/5
5200. 答案5200:  635430/10897561
5201. 答案5201:  11'70/549
5202. 答案5202:  800'23/35
5203. 答案5203:  105'25/42
5204. 答案5204:  82
5205. 答案5205:  1972
5206. 答案5206:  546'3/4
5207. 答案5207:  1716/45709
5208. 答案5208:  3915
5209. 答案5209:  3842'1604/7387
5210. 答案5210:  63
5211. 答案5211:  44161/6138388
5212. 答案5212:  32'8/11
5213. 答案5213:  539
5214. 答案5214:  660
5215. 答案5215:  8'3/14
5216. 答案5216:  64
5217. 答案5217:  57'11921/427424
5218. 答案5218:  136'1/2
5219. 答案5219:  130'2/21
5220. 答案5220:  76
5221. 答案5221:  26'3/638
5222. 答案5222:  79'21/74
5223. 答案5223:  37'28/29
5224. 答案5224:  124
5225. 答案5225:  63'4261/6450
5226. 答案5226:  99'14/25
5227. 答案5227:  98
5228. 答案5228:  12'113/116
5229. 答案5229:  8'1/2
5230. 答案5230:  1'24/37
5231. 答案5231:  86'199/220
5232. 答案5232:  14539/4561804
5233. 答案5233:  0
5234. 答案5234:  395'75/287
5235. 答案5235:  445
5236. 答案5236:  1'11/15
5237. 答案5237:  886'59/64
5238. 答案5238:  5760
5239. 答案5239:  7/76
5240. 答案5240:  13763'33/74
5241. 答案5241:  29'19/35
5242. 答案5242:  1'4/15
5243. 答案5243:  90'49/64
5244. 答案5244:  87/130
5245. 答案5245:  109'8/19
5246. 答案5246:  3920
5247. 答案5247:  100'110/169
5248. 答案5248:  343/2592
5249. 答案5249:  88'24/35
5250. 答案5250:  813'16/33
5251. 答案5251:  2'2/5
5252. 答案5252:  91'81/179
5253. 答案5253:  1/676
5254. 答案5254:  141'14/25
5255. 答案5255:  37'14269/14872
5256. 答案5256:  81
5257. 答案5257:  133'5233/5580
5258. 答案5258:  2788'34/35
5259. 答案5259:  144'16/49
5260. 答案5260:  75'54/67
5261. 答案5261:  4997
5262. 答案5262:  57'10/67
5263. 答案5263:  8'80/4959
5264. 答案5264:  610/613
5265. 答案5265:  5376
5266. 答案5266:  35'1324378/1324593
5267. 答案5267:  174700'47591/49588
5268. 答案5268:  39'70/83
5269. 答案5269:  258'47/78
5270. 答案5270:  17'716/1377
5271. 答案5271:  5060'4/25
5272. 答案5272:  7044'219/2537
5273. 答案5273:  113'48/89
5274. 答案5274:  13'173/184
5275. 答案5275:  71'1/91
5276. 答案5276:  6'37/147
5277. 答案5277:  1'659/2828
5278. 答案5278:  25'267/319
5279. 答案5279:  93'10/21
5280. 答案5280:  69
5281. 答案5281:  35'147/148
5282. 答案5282:  1431'22/23
5283. 答案5283:  75'25/26
5284. 答案5284:  81
5285. 答案5285:  64'4/23
5286. 答案5286:  5714'38/87
5287. 答案5287:  3960
5288. 答案5288:  33
5289. 答案5289:  878'21/59
5290. 答案5290:  31'1154/2475
5291. 答案5291:  1406/1547
5292. 答案5292:  114
5293. 答案5293:  2384'2/3
5294. 答案5294:  1743'41/50
5295. 答案5295:  426'22/23
5296. 答案5296:  106'10/23
5297. 答案5297:  99'673/779
5298. 答案5298:  1'955/4414
5299. 答案5299:  2100
5300. 答案5300:  98'10/11
5301. 答案5301:  2200'8/19
5302. 答案5302:  29'4790287/16082290
5303. 答案5303:  918
5304. 答案5304:  28'5/58
5305. 答案5305:  124'3/5
5306. 答案5306:  27'29/44
5307. 答案5307:  1'1/15
5308. 答案5308:  68
5309. 答案5309:  144'43/64
5310. 答案5310:  234'14867/20532
5311. 答案5311:  4902
5312. 答案5312:  24/59
5313. 答案5313:  101'8/517
5314. 答案5314:  60
5315. 答案5315:  171/224
5316. 答案5316:  20'1/9
5317. 答案5317:  159/1280
5318. 答案5318:  135780
5319. 答案5319:  1'9/178
5320. 答案5320:  3659'82/95
5321. 答案5321:  172
5322. 答案5322:  3401'8/29
5323. 答案5323:  45663'9/13
5324. 答案5324:  462'12/35
5325. 答案5325:  19'7/12
5326. 答案5326:  4138'1/3
5327. 答案5327:  376365'345/527
5328. 答案5328:  79'11/15
5329. 答案5329:  95'83/84
5330. 答案5330:  1018'13/40
5331. 答案5331:  30'1/13
5332. 答案5332:  78'281/320
5333. 答案5333:  8664'16/29
5334. 答案5334:  53'7/9
5335. 答案5335:  131'4/19
5336. 答案5336:  28907
5337. 答案5337:  46'49/774
5338. 答案5338:  645'772/2263
5339. 答案5339:  1'2057/2604
5340. 答案5340:  9'1/3
5341. 答案5341:  53'1/4
5342. 答案5342:  4134
5343. 答案5343:  315'153/470
5344. 答案5344:  2560
5345. 答案5345:  47'3/13
5346. 答案5346:  2'1433/6285
5347. 答案5347:  22'2/7
5348. 答案5348:  75'117/176
5349. 答案5349:  30
5350. 答案5350:  63'7/8
5351. 答案5351:  175/982
5352. 答案5352:  67'499/1037
5353. 答案5353:  68'68/99
5354. 答案5354:  15'81/437
5355. 答案5355:  192
5356. 答案5356:  4822'303/460
5357. 答案5357:  1'707/733
5358. 答案5358:  55
5359. 答案5359:  30'187/196
5360. 答案5360:  68'25573/29568
5361. 答案5361:  152'3161/3525
5362. 答案5362:  5'30901/75510
5363. 答案5363:  57'3/4
5364. 答案5364:  2058'32/67
5365. 答案5365:  2535'15/23
5366. 答案5366:  1288'1/2
5367. 答案5367:  42'2165/12792
5368. 答案5368:  280
5369. 答案5369:  122
5370. 答案5370:  91
5371. 答案5371:  588'1/9
5372. 答案5372:  59/104877
5373. 答案5373:  3033'9094/196185
5374. 答案5374:  70'3/5
5375. 答案5375:  7
5376. 答案5376:  33
5377. 答案5377:  33'91589/285760
5378. 答案5378:  920/1843
5379. 答案5379:  164'23/43
5380. 答案5380:  125'64/119
5381. 答案5381:  64'147883/193704
5382. 答案5382:  90'81/97
5383. 答案5383:  117'29/62
5384. 答案5384:  21'32892/37927
5385. 答案5385:  30'205/1034
5386. 答案5386:  58'13/23
5387. 答案5387:  1267'33838/34011
5388. 答案5388:  60968'172/253
5389. 答案5389:  128'15829/18330
5390. 答案5390:  99'129/179
5391. 答案5391:  1089
5392. 答案5392:  36'301/416
5393. 答案5393:  126/145
5394. 答案5394:  27659/34694
5395. 答案5395:  2374'17/28
5396. 答案5396:  7776'5/9
5397. 答案5397:  77'2717/3318
5398. 答案5398:  88'1/3
5399. 答案5399:  10'18/23
5400. 答案5400:  10'178/2743
5401. 答案5401:  2851
5402. 答案5402:  45'1351/2508
5403. 答案5403:  334'68/71
5404. 答案5404:  177'32/95
5405. 答案5405:  4755'5/7
5406. 答案5406:  3359'251/264
5407. 答案5407:  12'185/416
5408. 答案5408:  53'6739/8295
5409. 答案5409:  15'9/19
5410. 答案5410:  90'205/1419
5411. 答案5411:  39'12/59
5412. 答案5412:  434'1343/1692
5413. 答案5413:  1'508/711
5414. 答案5414:  70'8/11
5415. 答案5415:  2373'7/10
5416. 答案5416:  140'4/7
5417. 答案5417:  37'19/42
5418. 答案5418:  49'1/71
5419. 答案5419:  1'7417/16656
5420. 答案5420:  1033'11/41
5421. 答案5421:  642
5422. 答案5422:  27'6/29
5423. 答案5423:  40'7260199/7260991
5424. 答案5424:  34'18974/23785
5425. 答案5425:  180'61/108
5426. 答案5426:  18
5427. 答案5427:  55825'4/5
5428. 答案5428:  2686'1021/1224
5429. 答案5429:  13038
5430. 答案5430:  3626'2/3
5431. 答案5431:  73'34/43
5432. 答案5432:  61'99/494
5433. 答案5433:  30'873/2278
5434. 答案5434:  104'88/95
5435. 答案5435:  98'3003/6365
5436. 答案5436:  152'31516/82411
5437. 答案5437:  8'3/4
5438. 答案5438:  4/31
5439. 答案5439:  7'24/31
5440. 答案5440:  11'169/252
5441. 答案5441:  10'491/1974
5442. 答案5442:  4'5492/6527
5443. 答案5443:  116'4/61
5444. 答案5444:  2699'793/1273
5445. 答案5445:  4113343/15235800
5446. 答案5446:  175'938/1007
5447. 答案5447:  45
5448. 答案5448:  5'70363/85825
5449. 答案5449:  91
5450. 答案5450:  230217'7/9
5451. 答案5451:  9'9/41
5452. 答案5452:  74'25346/46515
5453. 答案5453:  29'9/19
5454. 答案5454:  262'79/91
5455. 答案5455:  71'5/12
5456. 答案5456:  5683'7/10
5457. 答案5457:  62'7/25
5458. 答案5458:  58'62/91
5459. 答案5459:  84'39439/44689
5460. 答案5460:  1'1459/2706
5461. 答案5461:  71
5462. 答案5462:  255'14/27
5463. 答案5463:  33'161/172
5464. 答案5464:  17'17/28
5465. 答案5465:  585571'143/306
5466. 答案5466:  109'2/3
5467. 答案5467:  176'415/1023
5468. 答案5468:  87'207947/209760
5469. 答案5469:  40'44/95
5470. 答案5470:  78'120217/120267
5471. 答案5471:  152'16/19
5472. 答案5472:  86'12/29
5473. 答案5473:  3'24705/83266
5474. 答案5474:  3'59507/152720
5475. 答案5475:  232
5476. 答案5476:  72/115
5477. 答案5477:  14'4981/8360
5478. 答案5478:  43'2330/6853
5479. 答案5479:  117'6/23
5480. 答案5480:  206'492/1537
5481. 答案5481:  40'8/27
5482. 答案5482:  11/459
5483. 答案5483:  87'149/3315
5484. 答案5484:  132
5485. 答案5485:  52'14/23
5486. 答案5486:  87'80/261
5487. 答案5487:  22
5488. 答案5488:  30'23/26
5489. 答案5489:  78'16/83
5490. 答案5490:  65'3/5
5491. 答案5491:  62'17/43
5492. 答案5492:  50'1650641/12042485
5493. 答案5493:  155'7/8
5494. 答案5494:  97/4950
5495. 答案5495:  30'3875/3876
5496. 答案5496:  8514
5497. 答案5497:  2'1340959/1427052
5498. 答案5498:  6'17/33
5499. 答案5499:  11'1747/2137
5500. 答案5500:  0
5501. 答案5501:  26'13/38
5502. 答案5502:  1027/39824
5503. 答案5503:  1'119/594
5504. 答案5504:  47/65
5505. 答案5505:  3483
5506. 答案5506:  1'5/6
5507. 答案5507:  3075'3/37
5508. 答案5508:  2'3/14
5509. 答案5509:  3624'1336/2015
5510. 答案5510:  78'367/1326
5511. 答案5511:  13'78287/81872
5512. 答案5512:  13809/68185
5513. 答案5513:  255'3/5
5514. 答案5514:  380'25/31
5515. 答案5515:  19
5516. 答案5516:  7'95/108
5517. 答案5517:  43
5518. 答案5518:  207'1/2
5519. 答案5519:  598'3/5
5520. 答案5520:  16'1708/3977
5521. 答案5521:  81'13/1050
5522. 答案5522:  63'385/201469
5523. 答案5523:  78'17/23
5524. 答案5524:  85'3/11
5525. 答案5525:  620
5526. 答案5526:  84'37/73
5527. 答案5527:  81
5528. 答案5528:  66'4577/7708
5529. 答案5529:  21'15/61
5530. 答案5530:  44'753/419965
5531. 答案5531:  40'3/98
5532. 答案5532:  78'41/57
5533. 答案5533:  113'39/40
5534. 答案5534:  110'5/19
5535. 答案5535:  20'163/2263
5536. 答案5536:  215/217
5537. 答案5537:  12'43/140
5538. 答案5538:  30'20/37
5539. 答案5539:  155'40/801
5540. 答案5540:  31
5541. 答案5541:  2010'9/14
5542. 答案5542:  85
5543. 答案5543:  6316'16/17
5544. 答案5544:  56/355
5545. 答案5545:  203/471
5546. 答案5546:  472400
5547. 答案5547:  41
5548. 答案5548:  278'45/46
5549. 答案5549:  43'12/23
5550. 答案5550:  16'554/4455
5551. 答案5551:  95'4410/135763
5552. 答案5552:  36
5553. 答案5553:  183'37/144
5554. 答案5554:  119'8/17
5555. 答案5555:  1'19/51
5556. 答案5556:  114'7/25
5557. 答案5557:  8'2059/2545
5558. 答案5558:  17/86
5559. 答案5559:  54'3/43
5560. 答案5560:  129'1643/2620
5561. 答案5561:  6091'22791/40052
5562. 答案5562:  16'3869/4950
5563. 答案5563:  78'867/1540
5564. 答案5564:  8635'27/35
5565. 答案5565:  11'1/12
5566. 答案5566:  120
5567. 答案5567:  31'27/2204
5568. 答案5568:  6'22/87
5569. 答案5569:  4004'2626/4557
5570. 答案5570:  423'1/2
5571. 答案5571:  1300
5572. 答案5572:  43'71209/78995
5573. 答案5573:  2443'50/87
5574. 答案5574:  28'12/31
5575. 答案5575:  71'4049/14809
5576. 答案5576:  13'2/51
5577. 答案5577:  16'3/67
5578. 答案5578:  55
5579. 答案5579:  130'6/11
5580. 答案5580:  77'7/22
5581. 答案5581:  91'1566/5789
5582. 答案5582:  70
5583. 答案5583:  58
5584. 答案5584:  91'2/3
5585. 答案5585:  86'299239/313650
5586. 答案5586:  49'2/5
5587. 答案5587:  87'653/3276
5588. 答案5588:  180/1213
5589. 答案5589:  2160/4979
5590. 答案5590:  64'64/69
5591. 答案5591:  125
5592. 答案5592:  46'7456/12727
5593. 答案5593:  66'164/657
5594. 答案5594:  104'396/533
5595. 答案5595:  37'815/1606
5596. 答案5596:  3'999/2099
5597. 答案5597:  19'29/36
5598. 答案5598:  1149'3/4
5599. 答案5599:  4497'13/68
5600. 答案5600:  73'615/1204
5601. 答案5601:  4928
5602. 答案5602:  120
5603. 答案5603:  191'17/18
5604. 答案5604:  1191/7178
5605. 答案5605:  506'59/72
5606. 答案5606:  3500/137313
5607. 答案5607:  93'56/83
5608. 答案5608:  132
5609. 答案5609:  2221'9/23
5610. 答案5610:  53'13/71
5611. 答案5611:  77'33275/37076
5612. 答案5612:  40/1457
5613. 答案5613:  6'499/703
5614. 答案5614:  10'37/58
5615. 答案5615:  13'11953/12818
5616. 答案5616:  279428'115/357
5617. 答案5617:  7
5618. 答案5618:  64/175
5619. 答案5619:  95'6271/7138
5620. 答案5620:  480'1/5
5621. 答案5621:  86'5/44
5622. 答案5622:  90'13/24
5623. 答案5623:  13'346/4321
5624. 答案5624:  42'17/21
5625. 答案5625:  8'2/133
5626. 答案5626:  2194'2/5
5627. 答案5627:  95'17815/24662
5628. 答案5628:  19
5629. 答案5629:  5415/6808
5630. 答案5630:  80'1687/3141
5631. 答案5631:  52598/316635
5632. 答案5632:  90'829/5936
5633. 答案5633:  90
5634. 答案5634:  250
5635. 答案5635:  60'4/27
5636. 答案5636:  847/1074
5637. 答案5637:  51'11623/57850
5638. 答案5638:  16'339143/437552
5639. 答案5639:  56'8761/16000
5640. 答案5640:  158'111/112
5641. 答案5641:  483/773
5642. 答案5642:  6143'1/2
5643. 答案5643:  562'2/7
5644. 答案5644:  5982'421/775
5645. 答案5645:  224845
5646. 答案5646:  51597/112184
5647. 答案5647:  77/387
5648. 答案5648:  2870
5649. 答案5649:  222/991
5650. 答案5650:  55'13071/43378
5651. 答案5651:  104'4/5
5652. 答案5652:  37'140/141
5653. 答案5653:  48'1162/23859
5654. 答案5654:  118
5655. 答案5655:  111'297/533
5656. 答案5656:  4
5657. 答案5657:  32'1279367/2466198
5658. 答案5658:  57'13/19
5659. 答案5659:  45765
5660. 答案5660:  306'22/333
5661. 答案5661:  1112447/1978460
5662. 答案5662:  67
5663. 答案5663:  3050124
5664. 答案5664:  55'9/14
5665. 答案5665:  85'2/481
5666. 答案5666:  154'5/11
5667. 答案5667:  63'399371/427915
5668. 答案5668:  14003/27186
5669. 答案5669:  90'251/893
5670. 答案5670:  1'1/6
5671. 答案5671:  4568'8/11
5672. 答案5672:  119'4/55
5673. 答案5673:  84'6/7
5674. 答案5674:  6'41/272
5675. 答案5675:  51'3/5
5676. 答案5676:  419639/437895
5677. 答案5677:  27
5678. 答案5678:  23'1163/3479
5679. 答案5679:  76'4/5
5680. 答案5680:  45/284
5681. 答案5681:  8/17
5682. 答案5682:  56'12523/22360
5683. 答案5683:  83'1/6
5684. 答案5684:  47'19/25
5685. 答案5685:  116'3/4
5686. 答案5686:  1071'24/79
5687. 答案5687:  3015
5688. 答案5688:  14203'4/11
5689. 答案5689:  931
5690. 答案5690:  21894
5691. 答案5691:  88'5/9
5692. 答案5692:  1'140/219
5693. 答案5693:  12'3812/6315
5694. 答案5694:  117'3/61
5695. 答案5695:  81'6/7
5696. 答案5696:  4'38/49
5697. 答案5697:  95'2677/2856
5698. 答案5698:  89
5699. 答案5699:  43'316/765
5700. 答案5700:  12'25875/46508
5701. 答案5701:  53900/2803063
5702. 答案5702:  615/1159
5703. 答案5703:  1'4657/7593
5704. 答案5704:  62'8395/9088
5705. 答案5705:  25/88
5706. 答案5706:  2580'6/41
5707. 答案5707:  263'9/73
5708. 答案5708:  1197/1461241
5709. 答案5709:  47'102/203
5710. 答案5710:  1232'11/56
5711. 答案5711:  24'34/87
5712. 答案5712:  2115'616669/682363
5713. 答案5713:  2173'1/2
5714. 答案5714:  13032
5715. 答案5715:  117'243/308
5716. 答案5716:  1'539/4078
5717. 答案5717:  1528'37/426
5718. 答案5718:  95'29/86
5719. 答案5719:  18'29/36
5720. 答案5720:  54'1/20
5721. 答案5721:  54
5722. 答案5722:  45'5/9
5723. 答案5723:  70'456/731
5724. 答案5724:  52'832/1269
5725. 答案5725:  5'25675/2958984
5726. 答案5726:  135'5982/30527
5727. 答案5727:  46'11/16
5728. 答案5728:  3'6/7
